Time,No.,Zone,Northing,Easting, longitude, latitude,Depth.sample,Depth.water,D.O.,pH,Temperature,Vegeation
1112,1,18T,394514,4935610,-76.32840531,44.56610325,1,1.7,16.5,7.19,17.8,1
1130,2,18T,394133,4935256,-76.33312925,44.56286129,1.3,2.5,19.2,7.7,15.7,1
1145,3,18T,393508,4935102,-76.34096557,44.56138314,1,1.6,22.3,7.95,15.7,1
1150,4,18T,393528,4934712,-76.34063318,44.55787604,1,2.2,20.3,7.88,15.8,1
1200,5,18T,393263,4934336,-76.34389108,44.55445277,1.5,3,20.2,7.95,15.8,1
1205,6,18T,392974,4933966,-76.34745193,44.55107985,1.4,2.7,19.8,7.91,15.6,1
1215,7,18T,392462,4933693,-76.35383923,44.54854659,0.5,1.3,20.1,8.05,15.2,1
1230,8,18T,392054,4933292,-76.35889029,44.54487655,1.5,3.1,20.1,8.15,15.2,1
1240,9,18T,391679,4933249,-76.36360065,44.54443329,0.7,1.4,21.6,8.01,15.3,1
1255,10,18T,391499,4933385,-76.36589457,44.54563023,0.5,1.2,20.4,7.68,15.5,1
1315,11,18T,391605,4932864,-76.36445099,44.54095713,1.5,3,21.6,8.24,15.2,1
1325,12,18T,391514,4932269,-76.36547097,44.53558839,0.5,1.5,22.1,8.06,15.3,1
1340,13,18T,391959,4932737,-76.35996956,44.53986726,1.3,2.7,21.4,8.24,15.6,1
1355,14,18T,392338,4933150,-76.35528646,44.54364101,1.5,3,22,8.29,15.5,1
1420,15,18T,392726,4933577,-76.3504924,44.54754192,1.5,3.2,20.9,8.11,16,0
1535,16,18T,394550,4935244,-76.32787713,44.56281445,3.7,7.4,20.8,7.87,16.2,0
1545,17,18T,394207,4934928,-76.33213028,44.5599201,4,7.7,19.4,7.8,15.8,0
1555,18,18T,393940,4934689,-76.33544218,44.5577298,2.5,4.7,20.2,7.8,15.4,1
1600,19,18T,393981,4934361,-76.33485857,44.55478378,3.5,7.2,19.6,7.74,15.3,0
1610,20,18T,393921,4933942,-76.33552755,44.55100387,2.5,4.8,18.2,7.76,15.6,0
1615,21,18T,393514,4933515,-76.34056203,44.54710077,0.5,1.7,21,7.78,16,1
1630,22,18T,394288,4933891,-76.33089783,44.55059879,2.5,4.9,19.6,7.74,15.9,1
1640,23,18T,394599,4934202,-76.32704705,44.55344341,3,6,19.8,7.75,16.1,0
1650,24,18T,394371,4934494,-76.32997677,44.55603808,4.5,8.7,19.8,7.78,15.6,0
1700,25,18T,394551,4934871,-76.32778817,44.55945753,4,8.4,20.4,7.82,15.4,0
1710,26,18T,394924,4934873,-76.3230931,44.55953003,3.5,7.2,18.9,7.72,15.4,0
1720,27,18T,395087,4934767,-76.3210196,44.55859976,1.7,3.4,19.9,7.84,15.8,1
1730,28,18T,395499,4934915,-76.31586326,44.55999167,1,2,20.4,7.95,15.8,1
1740,29,18T,395462,4935192,-76.31638526,44.56247937,2,4,20.6,7.95,15.4,1
1750,30,18T,395160,4935093,-76.32016701,44.56154446,1.5,3,20.3,7.84,15.7,0
1800,31,18T,394916,4935318,-76.32328461,44.56353396,1.5,2.8,20.1,7.88,15,0
1805,32,18T,394978,4935564,-76.32255424,44.56575705,1.5,3.2,20.6,7.94,15.1,1
